source,inheritor,content_containment,convention_similarity,convention_distance,reformatting_residual,source_year,inheritor_year,temporal_plausible
CAE,MW,0.911,0.2342,0.7658,0.6768,1891,1899,True
MD,MW,0.9271,0.2726,0.7274,0.6545,1893,1899,True
CCS,MW,0.9004,0.277,0.723,0.6234,1887,1899,True
GRA,PW,0.8683,0.2893,0.7107,0.579,1873,1879,True
BEN,PW,0.8892,0.3455,0.6545,0.5437,1866,1879,True
WIL,YAT,0.9264,0.3901,0.6099,0.5363,1832,1846,True
BEN,PWG,0.8919,0.3571,0.6429,0.5348,1866,1855,False
PWG,MW,0.8934,0.3708,0.6292,0.5226,1855,1899,True
YAT,WIL,0.9102,0.3901,0.6099,0.5201,1846,1832,False
STC,MW,0.8813,0.3626,0.6374,0.5187,1932,1899,False
PW,MW,0.8523,0.3455,0.6545,0.5068,1879,1899,True
YAT,SHS,0.8941,0.4766,0.5234,0.4175,1846,1900,True
BEN,MW,0.9374,0.5297,0.4703,0.4077,1866,1899,True
SHS,YAT,0.8556,0.4766,0.5234,0.379,1900,1846,False
MD,PW,0.8872,0.51,0.49,0.3772,1893,1879,False
CCS,PW,0.9452,0.5724,0.4276,0.3728,1887,1879,False
VEI,MW,0.8553,0.4968,0.5032,0.3585,1912,1899,False
MW72,MW,0.8963,0.5619,0.4381,0.3344,1872,1899,True
BOP,MW,0.94,0.6312,0.3688,0.3088,1847,1899,True
CAE,PW,0.8873,0.5886,0.4114,0.2987,1891,1879,False
GRA,MW,0.8779,0.6379,0.3621,0.24,1873,1899,True
CCS,CAE,0.9396,0.7074,0.2926,0.2322,1887,1891,True
PWG,PW,0.9375,0.7466,0.2534,0.1909,1855,1879,True
WIL,SHS,0.9525,0.7781,0.2219,0.1744,1832,1900,True
SHS,WIL,0.8957,0.7781,0.2219,0.1176,1900,1832,False
