dict,n1_form,n2_git,m_overlap,s_observed,estimable,n_hat,ci_low,ci_high,chao_hetero,record_count,capped,remaining_hat
pw,9702,1369,169,10902,1,78194,67321,89066,170556,170556,0,67292
mw,1243,5580,105,6718,1,65497,53740,77254,214965,286525,0,58779
ccs,2202,44,0,2246,0,,,,,,,
pwg,148,1918,1,2065,0,,,,,,,
ap90,269,1468,3,1734,0,,,,,,,
cae,1271,340,1,1610,0,,,,,,,
ap,437,1109,1,1545,0,,,,,,,
bur,684,883,23,1544,1,19776,15647,19776,19776,19776,1,18232
pd,1372,0,0,1372,0,,,,,,,
wil,1128,63,0,1191,0,,,,,,,
ben,463,600,4,1059,0,,,,,,,
md,13,940,0,953,0,,,,,,,
pui,557,204,0,761,0,,,,,,,
vcp,389,237,0,626,0,,,,,,,
shs,160,430,0,590,0,,,,,,,
gra,312,235,3,544,0,,,,,,,
sch,73,405,0,478,0,,,,,,,
yat,207,250,0,457,0,,,,,,,
skd,323,126,0,449,0,,,,,,,
acc,147,283,0,430,0,,,,,,,
bhs,19,275,0,294,0,,,,,,,
bop,30,237,0,267,0,,,,,,,
lrv,0,253,0,253,0,,,,,,,
bor,7,243,0,250,0,,,,,,,
stc,76,160,5,231,0,,,,,,,
ae,16,196,1,211,0,,,,,,,
ieg,43,157,0,200,0,,,,,,,
mw72,113,72,0,185,0,,,,,,,
lan,0,174,0,174,0,,,,,,,
mwe,55,79,0,134,0,,,,,,,
vei,40,89,0,129,0,,,,,,,
inm,67,43,0,110,0,,,,,,,
gst,7,86,0,93,0,,,,,,,
fri,0,86,0,86,0,,,,,,,
pwkvn,0,77,0,77,0,,,,,,,
mci,10,56,0,66,0,,,,,,,
pe,37,29,0,66,0,,,,,,,
pwg2013,49,0,0,49,0,,,,,,,
apes,33,0,0,33,0,,,,,,,
krm,9,17,0,26,0,,,,,,,
pgn,0,25,0,25,0,,,,,,,
snp,0,1,0,1,0,,,,,,,
