year,issues_opened,issues_closed,prs_opened,prs_closed,commits,active_repos,active_authors,net_issues,cumulative_open
2014,190,65,0,0,125,14,2,125,125
2015,270,169,0,0,411,13,3,101,226
2016,175,140,0,0,397,16,3,35,261
2017,268,130,0,0,276,15,4,138,399
2018,98,30,0,0,233,17,3,68,467
2019,258,147,3,3,487,24,7,111,578
2020,483,498,1,1,681,38,6,-15,563
2021,647,491,11,10,1749,46,11,156,719
2022,460,386,6,3,754,39,6,74,793
2023,541,545,4,8,612,32,9,-4,789
2024,382,390,9,9,682,27,7,-8,781
2025,1178,216,2,2,951,25,5,962,1743
2026,510,1447,677,669,4955,77,11,-937,806
